Agency Type,Victim Sex,Victim Age,Victim Ethnicity,Perpetrator Sex,Perpetrator Ethnicity,Weapon Category,Relationship Category,Region,Season
Municipal Police,Male,40,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,South,Autumn
Municipal Police,Male,17,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Autumn
Municipal Police,Male,20,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Autumn
Municipal Police,Male,22,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,South,Autumn
Municipal Police,Male,79,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,South,Autumn
Municipal Police,Female,51,Not Hispanic,Male,Not Hispanic,Firearm,Lover,South,Winter
Municipal Police,Female,69,Not Hispanic,Male,Not Hispanic,Firearm,Lover,South,Winter
Municipal Police,Male,51,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,South,Winter
Municipal Police,Male,34,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,South,Winter
Municipal Police,Male,30,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Winter
Municipal Police,Male,31,Not Hispanic,Female,Not Hispanic,Firearm,Lover,South,Winter
Municipal Police,Male,35,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Winter
Municipal Police,Male,40,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Winter
Municipal Police,Male,40,Not Hispanic,Male,Not Hispanic,Firearm,Lover,South,Winter
Municipal Police,Female,40,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Spring
Municipal Police,Male,66,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,South,Summer
Municipal Police,Male,55,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,South,Summer
Municipal Police,Male,20,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,South,Spring
Municipal Police,Male,61,Not Hispanic,Male,Not Hispanic,Firearm,Family,South,Spring
Municipal Police,Female,33,Not Hispanic,Male,Not Hispanic,Firearm,Lover,South,Autumn
Municipal Police,Male,67,Not Hispanic,Male,Not Hispanic,Firearm,Family,South,Spring
Sheriff,Male,52,Not Hispanic,Female,Not Hispanic,Firearm,Acquaintance,South,Winter
Sheriff,Male,37,Not Hispanic,Female,Not Hispanic,Firearm,Lover,South,Spring
Sheriff,Male,30,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Spring
Municipal Police,Male,50,Not Hispanic,Male,Not Hispanic,Non-Firearm,Stranger,South,Summer
Municipal Police,Female,51,Not Hispanic,Male,Not Hispanic,Firearm,Lover,South,Summer
Municipal Police,Female,67,Not Hispanic,Male,Not Hispanic,Non-Firearm,Family,South,Summer
Municipal Police,Female,67,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Summer
Municipal Police,Female,27,Not Hispanic,Male,Not Hispanic,Non-Firearm,Lover,South,Summer
Municipal Police,Male,29,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,South,Summer
Municipal Police,Male,32,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Summer
Municipal Police,Male,26,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,South,Summer
Municipal Police,Male,38,Not Hispanic,Male,Not Hispanic,Non-Firearm,Stranger,South,Summer
Municipal Police,Female,31,Not Hispanic,Male,Not Hispanic,Non-Firearm,Lover,South,Autumn
Municipal Police,Male,32,Hispanic,Male,Hispanic,Non-Firearm,Acquaintance,South,Winter
Municipal Police,Male,26,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,South,Spring
Municipal Police,Female,30,Not Hispanic,Male,Not Hispanic,Firearm,Lover,South,Summer
Sheriff,Male,55,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Summer
Sheriff,Female,21,Not Hispanic,Male,Not Hispanic,Firearm,Lover,South,Autumn
Municipal Police,Male,70,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,South,Autumn
Sheriff,Male,45,Not Hispanic,Male,Not Hispanic,Firearm,Family,South,Spring
Sheriff,Male,71,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,South,Spring
Sheriff,Male,42,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,South,Spring
Sheriff,Female,37,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,South,Spring
Sheriff,Male,71,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Spring
Sheriff,Male,30,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,South,Autumn
Sheriff,Male,38,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Spring
Municipal Police,Male,28,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Summer
Municipal Police,Female,26,Not Hispanic,Male,Not Hispanic,Firearm,Lover,South,Autumn
Municipal Police,Male,26,Not Hispanic,Female,Not Hispanic,Firearm,Lover,South,Summer
Municipal Police,Female,22,Not Hispanic,Male,Not Hispanic,Firearm,Lover,South,Summer
Municipal Police,Male,54,Not Hispanic,Male,Not Hispanic,Non-Firearm,Stranger,South,Autumn
Municipal Police,Female,45,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Winter
Sheriff,Male,37,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Spring
Sheriff,Male,42,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,South,Spring
Municipal Police,Female,47,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,South,Autumn
Sheriff,Male,38,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Summer
Sheriff,Male,28,Not Hispanic,Male,Not Hispanic,Firearm,Family,South,Spring
Sheriff,Male,55,Not Hispanic,Female,Not Hispanic,Firearm,Acquaintance,South,Spring
Municipal Police,Male,36,Not Hispanic,Female,Not Hispanic,Non-Firearm,Acquaintance,South,Summer
Municipal Police,Male,38,Not Hispanic,Female,Not Hispanic,Firearm,Acquaintance,South,Winter
Sheriff,Male,25,Not Hispanic,Male,Not Hispanic,Firearm,Family,South,Summer
Sheriff,Female,24,Not Hispanic,Male,Not Hispanic,Firearm,Family,South,Summer
Municipal Police,Male,2,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,South,Winter
Sheriff,Male,41,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Spring
Municipal Police,Male,25,Not Hispanic,Male,Not Hispanic,Non-Firearm,Family,South,Spring
Municipal Police,Male,32,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,South,Autumn
