Agency Type,Victim Sex,Victim Age,Victim Ethnicity,Perpetrator Sex,Perpetrator Ethnicity,Weapon Category,Relationship Category,Region,Season
Municipal Police,Male,30,Not Hispanic,Female,Not Hispanic,Non-Firearm,Lover,Midwest,Autumn
Municipal Police,Male,24,Not Hispanic,Male,Not Hispanic,Firearm,Family,Midwest,Autumn
Municipal Police,Male,21,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,Midwest,Autumn
Municipal Police,Male,23,Not Hispanic,Female,Not Hispanic,Non-Firearm,Lover,Midwest,Autumn
Municipal Police,Male,28,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,Midwest,Autumn
Municipal Police,Male,29,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,Midwest,Autumn
Municipal Police,Male,20,Hispanic,Male,Hispanic,Firearm,Stranger,Midwest,Autumn
Municipal Police,Female,4,Not Hispanic,Female,Not Hispanic,Firearm,Family,Midwest,Autumn
Municipal Police,Male,53,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,Midwest,Autumn
Municipal Police,Male,76,Not Hispanic,Male,Not Hispanic,Non-Firearm,Family,Midwest,Autumn
Municipal Police,Male,18,Not Hispanic,Male,Hispanic,Non-Firearm,Acquaintance,Midwest,Autumn
Municipal Police,Male,55,Not Hispanic,Female,Not Hispanic,Non-Firearm,Lover,Midwest,Autumn
Municipal Police,Male,21,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,Midwest,Autumn
Municipal Police,Male,17,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,Midwest,Autumn
Municipal Police,Male,14,Not Hispanic,Female,Not Hispanic,Non-Firearm,Acquaintance,Midwest,Autumn
Municipal Police,Male,28,Hispanic,Male,Hispanic,Firearm,Stranger,Midwest,Autumn
Municipal Police,Male,28,Hispanic,Male,Not Hispanic,Firearm,Stranger,Midwest,Autumn
Municipal Police,Male,15,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,Midwest,Autumn
Municipal Police,Male,31,Not Hispanic,Male,Not Hispanic,Non-Firearm,Family,Midwest,Autumn
Municipal Police,Male,33,Not Hispanic,Male,Not Hispanic,Firearm,Family,Midwest,Autumn
Municipal Police,Male,50,Not Hispanic,Male,Not Hispanic,Non-Firearm,Stranger,Midwest,Autumn
Municipal Police,Male,17,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Autumn
Municipal Police,Male,13,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Autumn
Municipal Police,Male,25,Not Hispanic,Male,Not Hispanic,Non-Firearm,Lover,Midwest,Autumn
Municipal Police,Male,71,Not Hispanic,Male,Not Hispanic,Non-Firearm,Family,Midwest,Autumn
Municipal Police,Female,63,Not Hispanic,Female,Not Hispanic,Non-Firearm,Lover,Midwest,Autumn
Municipal Police,Female,15,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Autumn
Municipal Police,Male,18,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Autumn
Municipal Police,Male,32,Not Hispanic,Male,Hispanic,Firearm,Stranger,Midwest,Autumn
Municipal Police,Male,47,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,Midwest,Autumn
Municipal Police,Male,30,Not Hispanic,Male,Not Hispanic,Non-Firearm,Stranger,Midwest,Autumn
Municipal Police,Male,25,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,Midwest,Autumn
Municipal Police,Male,34,Not Hispanic,Male,Not Hispanic,Non-Firearm,Lover,Midwest,Autumn
Municipal Police,Male,36,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,Midwest,Autumn
Municipal Police,Male,53,Not Hispanic,Female,Not Hispanic,Non-Firearm,Acquaintance,Midwest,Autumn
Municipal Police,Male,30,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,Midwest,Autumn
Municipal Police,Male,39,Not Hispanic,Male,Not Hispanic,Non-Firearm,Stranger,Midwest,Autumn
Municipal Police,Male,20,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,Midwest,Autumn
Municipal Police,Male,39,Hispanic,Male,Hispanic,Firearm,Stranger,Midwest,Autumn
Municipal Police,Female,71,Not Hispanic,Male,Not Hispanic,Non-Firearm,Stranger,Midwest,Autumn
Municipal Police,Male,25,Hispanic,Male,Hispanic,Firearm,Acquaintance,Midwest,Autumn
Municipal Police,Male,73,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,Midwest,Autumn
Municipal Police,Male,35,Hispanic,Male,Hispanic,Firearm,Acquaintance,Midwest,Autumn
Municipal Police,Female,51,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,Midwest,Autumn
Municipal Police,Male,17,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Autumn
Municipal Police,Male,25,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,Midwest,Autumn
Municipal Police,Male,32,Not Hispanic,Male,Not Hispanic,Non-Firearm,Stranger,Midwest,Autumn
Municipal Police,Male,38,Not Hispanic,Male,Not Hispanic,Non-Firearm,Family,Midwest,Autumn
Municipal Police,Male,23,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,Midwest,Autumn
Municipal Police,Female,22,Not Hispanic,Male,Not Hispanic,Non-Firearm,Stranger,Midwest,Autumn
Municipal Police,Female,27,Not Hispanic,Male,Not Hispanic,Firearm,Lover,Midwest,Autumn
Municipal Police,Male,19,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,Midwest,Autumn
Municipal Police,Male,20,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Autumn
Municipal Police,Male,31,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,Midwest,Autumn
Municipal Police,Male,55,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,Midwest,Autumn
Municipal Police,Male,13,Not Hispanic,Female,Not Hispanic,Non-Firearm,Family,Midwest,Autumn
Municipal Police,Male,26,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,Midwest,Autumn
Municipal Police,Male,41,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Autumn
Municipal Police,Male,34,Hispanic,Male,Hispanic,Firearm,Acquaintance,Midwest,Autumn
Municipal Police,Male,37,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,Midwest,Autumn
Municipal Police,Male,61,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,Midwest,Autumn
Municipal Police,Male,22,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,Midwest,Autumn
Municipal Police,Male,20,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,Midwest,Autumn
Municipal Police,Male,21,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Autumn
Municipal Police,Female,19,Hispanic,Female,Not Hispanic,Non-Firearm,Lover,Midwest,Autumn
Municipal Police,Male,21,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,Midwest,Autumn
Municipal Police,Male,24,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,Midwest,Autumn
Municipal Police,Male,55,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,Midwest,Autumn
Municipal Police,Male,17,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Autumn
Municipal Police,Male,24,Not Hispanic,Female,Not Hispanic,Firearm,Lover,Midwest,Autumn
Municipal Police,Male,15,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,Midwest,Winter
Municipal Police,Male,37,Hispanic,Male,Hispanic,Firearm,Acquaintance,Midwest,Winter
Municipal Police,Male,27,Hispanic,Male,Hispanic,Firearm,Acquaintance,Midwest,Winter
Municipal Police,Male,52,Not Hispanic,Male,Not Hispanic,Non-Firearm,Family,Midwest,Winter
Municipal Police,Male,24,Not Hispanic,Female,Not Hispanic,Firearm,Family,Midwest,Winter
Municipal Police,Male,55,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,Midwest,Winter
Municipal Police,Male,27,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,Midwest,Winter
Municipal Police,Male,40,Not Hispanic,Male,Not Hispanic,Non-Firearm,Family,Midwest,Winter
Municipal Police,Male,32,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,Midwest,Winter
Municipal Police,Male,38,Not Hispanic,Male,Not Hispanic,Non-Firearm,Family,Midwest,Winter
Municipal Police,Male,39,Hispanic,Male,Hispanic,Firearm,Acquaintance,Midwest,Winter
Municipal Police,Male,27,Not Hispanic,Male,Hispanic,Non-Firearm,Stranger,Midwest,Winter
Municipal Police,Male,38,Not Hispanic,Female,Not Hispanic,Non-Firearm,Lover,Midwest,Winter
Municipal Police,Male,29,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Winter
Municipal Police,Male,20,Hispanic,Male,Hispanic,Firearm,Acquaintance,Midwest,Winter
Municipal Police,Male,33,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Winter
Municipal Police,Male,36,Not Hispanic,Male,Hispanic,Firearm,Acquaintance,Midwest,Winter
Municipal Police,Female,28,Not Hispanic,Male,Not Hispanic,Non-Firearm,Lover,Midwest,Winter
Municipal Police,Male,39,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Winter
Municipal Police,Female,26,Not Hispanic,Male,Not Hispanic,Non-Firearm,Lover,Midwest,Winter
Municipal Police,Male,47,Not Hispanic,Male,Not Hispanic,Non-Firearm,Family,Midwest,Winter
Municipal Police,Female,17,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,Midwest,Winter
Municipal Police,Male,43,Hispanic,Male,Hispanic,Firearm,Stranger,Midwest,Winter
Municipal Police,Male,11,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Winter
Municipal Police,Female,52,Not Hispanic,Male,Not Hispanic,Non-Firearm,Lover,Midwest,Winter
Municipal Police,Male,23,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,Midwest,Winter
Municipal Police,Male,34,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,Midwest,Winter
Municipal Police,Male,31,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,Midwest,Winter
Municipal Police,Male,23,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,Midwest,Winter
Municipal Police,Male,44,Hispanic,Male,Not Hispanic,Firearm,Stranger,Midwest,Winter
Sheriff,Female,35,Not Hispanic,Male,Not Hispanic,Firearm,Lover,Midwest,Summer
Sheriff,Female,30,Not Hispanic,Male,Not Hispanic,Non-Firearm,Lover,Midwest,Autumn
Municipal Police,Female,45,Not Hispanic,Male,Not Hispanic,Firearm,Lover,Midwest,Spring
Sheriff,Female,38,Not Hispanic,Male,Not Hispanic,Firearm,Lover,Midwest,Autumn
Municipal Police,Male,22,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,Midwest,Winter
Municipal Police,Male,34,Not Hispanic,Male,Not Hispanic,Non-Firearm,Stranger,Midwest,Winter
Municipal Police,Male,22,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,Midwest,Spring
Municipal Police,Male,28,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Autumn
Municipal Police,Female,32,Not Hispanic,Male,Not Hispanic,Non-Firearm,Lover,Midwest,Autumn
Municipal Police,Male,34,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Autumn
Sheriff,Male,43,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Summer
Sheriff,Male,38,Not Hispanic,Male,Not Hispanic,Non-Firearm,Stranger,Midwest,Summer
Sheriff,Female,25,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Summer
Municipal Police,Male,50,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Winter
Municipal Police,Male,42,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Winter
Municipal Police,Male,35,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,Midwest,Autumn
Municipal Police,Male,42,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Spring
Sheriff,Male,79,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,Midwest,Spring
Sheriff,Male,75,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,Midwest,Spring
Municipal Police,Female,41,Not Hispanic,Male,Not Hispanic,Firearm,Lover,Midwest,Winter
Sheriff,Male,47,Not Hispanic,Male,Not Hispanic,Firearm,Family,Midwest,Summer
Sheriff,Male,27,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,Midwest,Summer
Sheriff,Female,20,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,Midwest,Autumn
Municipal Police,Female,25,Not Hispanic,Male,Not Hispanic,Firearm,Lover,Midwest,Autumn
Municipal Police,Male,23,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Summer
Municipal Police,Female,59,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Winter
Municipal Police,Male,34,Hispanic,Male,Not Hispanic,Firearm,Stranger,Midwest,Winter
Municipal Police,Male,35,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Winter
Municipal Police,Male,26,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Winter
Municipal Police,Male,33,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,Midwest,Winter
Municipal Police,Female,71,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,Midwest,Winter
Municipal Police,Male,33,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Winter
Municipal Police,Male,23,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,Midwest,Winter
Municipal Police,Male,21,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,Midwest,Winter
Municipal Police,Male,2,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,Midwest,Winter
Municipal Police,Female,71,Not Hispanic,Male,Not Hispanic,Non-Firearm,Stranger,Midwest,Winter
Municipal Police,Male,26,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,Midwest,Winter
Municipal Police,Male,53,Not Hispanic,Female,Not Hispanic,Firearm,Lover,Midwest,Winter
Municipal Police,Male,30,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Spring
Municipal Police,Male,47,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Spring
Municipal Police,Male,18,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Spring
Municipal Police,Female,30,Not Hispanic,Male,Not Hispanic,Firearm,Lover,Midwest,Spring
Municipal Police,Male,19,Hispanic,Male,Hispanic,Firearm,Family,Midwest,Spring
Municipal Police,Male,25,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,Midwest,Spring
Municipal Police,Male,23,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,Midwest,Spring
Municipal Police,Male,16,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Spring
Municipal Police,Male,25,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Spring
Municipal Police,Male,24,Not Hispanic,Female,Not Hispanic,Firearm,Lover,Midwest,Spring
Municipal Police,Male,62,Not Hispanic,Female,Not Hispanic,Firearm,Lover,Midwest,Spring
Municipal Police,Male,29,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Spring
Municipal Police,Female,28,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Spring
Municipal Police,Female,27,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Summer
Municipal Police,Male,29,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Summer
Municipal Police,Male,40,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,Midwest,Summer
Municipal Police,Male,20,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,Midwest,Summer
Municipal Police,Male,38,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Summer
Municipal Police,Male,21,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Summer
Municipal Police,Male,28,Not Hispanic,Female,Not Hispanic,Firearm,Lover,Midwest,Summer
Municipal Police,Female,25,Not Hispanic,Male,Not Hispanic,Firearm,Lover,Midwest,Summer
Municipal Police,Male,37,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,Midwest,Summer
Municipal Police,Male,33,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,Midwest,Summer
Municipal Police,Male,33,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Summer
Municipal Police,Male,29,Not Hispanic,Female,Not Hispanic,Firearm,Lover,Midwest,Summer
Municipal Police,Male,20,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Summer
Municipal Police,Male,54,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,Midwest,Summer
Municipal Police,Female,20,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,Midwest,Summer
Municipal Police,Male,34,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Summer
Municipal Police,Male,49,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Autumn
Municipal Police,Male,15,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Autumn
Municipal Police,Male,78,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,Midwest,Autumn
Municipal Police,Female,1,Not Hispanic,Female,Not Hispanic,Non-Firearm,Family,Midwest,Autumn
Municipal Police,Male,24,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Autumn
Municipal Police,Male,28,Not Hispanic,Male,Not Hispanic,Firearm,Family,Midwest,Autumn
Municipal Police,Female,45,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,Midwest,Autumn
Municipal Police,Male,45,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,Midwest,Autumn
Municipal Police,Female,35,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Autumn
Municipal Police,Male,33,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,Midwest,Autumn
Municipal Police,Male,18,Not Hispanic,Male,Hispanic,Firearm,Stranger,Midwest,Autumn
Municipal Police,Male,43,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Autumn
Municipal Police,Female,90,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,Midwest,Autumn
Municipal Police,Female,24,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Autumn
Municipal Police,Male,37,Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Autumn
Municipal Police,Male,19,Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Autumn
Municipal Police,Male,13,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Winter
Municipal Police,Male,57,Not Hispanic,Female,Not Hispanic,Firearm,Lover,Midwest,Winter
Municipal Police,Female,69,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,Midwest,Summer
Municipal Police,Male,71,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,Midwest,Autumn
Municipal Police,Male,31,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Winter
Municipal Police,Male,44,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Summer
Municipal Police,Male,29,Not Hispanic,Female,Not Hispanic,Firearm,Acquaintance,Midwest,Autumn
Sheriff,Male,8,Not Hispanic,Male,Not Hispanic,Non-Firearm,Family,Midwest,Winter
Sheriff,Male,39,Not Hispanic,Female,Not Hispanic,Firearm,Lover,Midwest,Spring
Sheriff,Female,23,Not Hispanic,Male,Not Hispanic,Firearm,Lover,Midwest,Spring
Sheriff,Female,23,Not Hispanic,Male,Not Hispanic,Firearm,Lover,Midwest,Spring
Sheriff,Male,25,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,Midwest,Spring
Sheriff,Male,30,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,Midwest,Summer
Sheriff,Male,47,Not Hispanic,Female,Not Hispanic,Firearm,Lover,Midwest,Summer
Sheriff,Female,83,Not Hispanic,Male,Not Hispanic,Firearm,Lover,Midwest,Autumn
Sheriff,Male,30,Not Hispanic,Male,Not Hispanic,Non-Firearm,Stranger,Midwest,Autumn
Sheriff,Female,27,Not Hispanic,Male,Not Hispanic,Firearm,Lover,Midwest,Autumn
Municipal Police,Female,99,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Winter
Municipal Police,Male,26,Hispanic,Male,Not Hispanic,Firearm,Family,Midwest,Spring
Municipal Police,Male,20,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Summer
Municipal Police,Male,18,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Summer
Sheriff,Female,69,Hispanic,Male,Hispanic,Firearm,Lover,Midwest,Spring
Municipal Police,Male,18,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Winter
Municipal Police,Male,25,Not Hispanic,Male,Not Hispanic,Non-Firearm,Family,Midwest,Winter
Municipal Police,Male,31,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Spring
Municipal Police,Female,33,Not Hispanic,Male,Not Hispanic,Firearm,Lover,Midwest,Summer
Municipal Police,Male,21,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,Midwest,Autumn
Municipal Police,Male,30,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Winter
Sheriff,Male,15,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Winter
Municipal Police,Male,99,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,Midwest,Spring
Municipal Police,Female,26,Not Hispanic,Female,Not Hispanic,Non-Firearm,Stranger,Midwest,Summer
Municipal Police,Male,28,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Autumn
Municipal Police,Male,25,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,Midwest,Winter
Municipal Police,Male,31,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,Midwest,Summer
Municipal Police,Male,19,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Winter
Municipal Police,Female,16,Not Hispanic,Male,Not Hispanic,Non-Firearm,Lover,Midwest,Winter
Municipal Police,Male,4,Not Hispanic,Male,Not Hispanic,Non-Firearm,Family,Midwest,Winter
Municipal Police,Male,19,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,Midwest,Winter
Sheriff,Female,52,Not Hispanic,Male,Not Hispanic,Non-Firearm,Family,Midwest,Winter
Municipal Police,Male,27,Not Hispanic,Male,Not Hispanic,Firearm,Family,Midwest,Autumn
Municipal Police,Male,25,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Autumn
Municipal Police,Male,30,Not Hispanic,Female,Not Hispanic,Firearm,Lover,Midwest,Spring
Sheriff,Male,35,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Winter
Municipal Police,Male,40,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,Midwest,Autumn
Municipal Police,Male,24,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,Midwest,Summer
Sheriff,Female,53,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,Midwest,Spring
Municipal Police,Female,53,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,Midwest,Winter
Municipal Police,Male,81,Not Hispanic,Male,Not Hispanic,Non-Firearm,Stranger,Midwest,Winter
Municipal Police,Female,69,Hispanic,Male,Hispanic,Firearm,Lover,Midwest,Winter
Municipal Police,Female,33,Hispanic,Male,Hispanic,Firearm,Lover,Midwest,Summer
Municipal Police,Male,22,Not Hispanic,Male,Hispanic,Non-Firearm,Stranger,Midwest,Winter
Sheriff,Male,61,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,Midwest,Autumn
Municipal Police,Male,50,Not Hispanic,Male,Not Hispanic,Firearm,Family,Midwest,Spring
Municipal Police,Female,28,Not Hispanic,Male,Not Hispanic,Firearm,Lover,Midwest,Summer
Municipal Police,Female,69,Not Hispanic,Male,Not Hispanic,Non-Firearm,Family,Midwest,Summer
Municipal Police,Male,35,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Summer
Sheriff,Male,64,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Summer
Municipal Police,Female,38,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Winter
Municipal Police,Male,59,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,Midwest,Autumn
Municipal Police,Male,30,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,Midwest,Autumn
Sheriff,Male,56,Not Hispanic,Female,Not Hispanic,Firearm,Lover,Midwest,Spring
Sheriff,Male,33,Not Hispanic,Female,Not Hispanic,Firearm,Lover,Midwest,Summer
Municipal Police,Male,14,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Summer
Municipal Police,Male,13,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Summer
Other Police,Male,49,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,Midwest,Summer
Other Police,Male,38,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,Midwest,Summer
Sheriff,Female,26,Not Hispanic,Male,Not Hispanic,Firearm,Lover,Midwest,Summer
Sheriff,Male,20,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Spring
Sheriff,Female,82,Not Hispanic,Female,Not Hispanic,Firearm,Family,Midwest,Summer
Sheriff,Female,31,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Summer
Sheriff,Male,33,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,Midwest,Winter
Municipal Police,Male,28,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Summer
Municipal Police,Male,22,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Winter
Municipal Police,Male,38,Not Hispanic,Female,Not Hispanic,Non-Firearm,Lover,Midwest,Spring
Municipal Police,Male,29,Not Hispanic,Male,Not Hispanic,Non-Firearm,Family,Midwest,Spring
Municipal Police,Male,35,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,Midwest,Spring
Municipal Police,Male,53,Not Hispanic,Male,Not Hispanic,Firearm,Family,Midwest,Spring
Municipal Police,Female,36,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,Midwest,Spring
Municipal Police,Female,47,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,Midwest,Spring
Municipal Police,Male,38,Not Hispanic,Male,Not Hispanic,Firearm,Family,Midwest,Spring
Municipal Police,Male,23,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,Midwest,Spring
Municipal Police,Female,75,Not Hispanic,Male,Not Hispanic,Non-Firearm,Family,Midwest,Spring
Municipal Police,Female,77,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,Midwest,Spring
Municipal Police,Male,22,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Summer
Municipal Police,Male,20,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,Midwest,Summer
Municipal Police,Male,21,Not Hispanic,Male,Not Hispanic,Non-Firearm,Stranger,Midwest,Summer
Municipal Police,Male,31,Not Hispanic,Female,Not Hispanic,Firearm,Lover,Midwest,Summer
